device_id,date,screen_on_freq,screen_on_time
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-30,39,9662.862
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-31,58,15828.627000000002
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-01,35,10353.79
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-02,21,19778.604000000003
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-03,45,10852.637
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-04,48,10760.575
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-05,40,11149.289999999999
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-06,41,10680.825000000003
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-07,27,9767.625000000004
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-08,31,17583.585
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-09,32,9803.828000000001
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-10,70,13477.533
0d9821b5-83fd-44f9-863b-12e4c0f62738,2023-01-11,49,9251.21
0ffb36e1-167c-423e-b8c1-63ea32ae8b22,2022-12-07,2,2992.547
0ffb36e1-167c-423e-b8c1-63ea32ae8b22,2022-12-08,12,28995.294999999995
0ffb36e1-167c-423e-b8c1-63ea32ae8b22,2022-12-09,21,46599.023
0ffb36e1-167c-423e-b8c1-63ea32ae8b22,2022-12-10,15,25536.291999999998
0ffb36e1-167c-423e-b8c1-63ea32ae8b22,2022-12-11,19,28678.598
