device_id,date,stationary,walking,running,automotive,cycling,unknown
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-07,538,28,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-08,497,12,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-09,641,43,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-10,581,154,1,73,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-11,701,19,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-06,396,54,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-07,652,107,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-08,925,152,1,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-09,785,148,0,74,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-10,581,56,0,26,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-11,763,159,0,142,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-12,786,44,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-13,643,223,16,43,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-14,574,96,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-15,766,166,1,100,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-16,789,147,0,108,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-17,722,115,1,12,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-18,740,98,1,55,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-19,826,76,0,28,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-20,766,71,3,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-21,794,96,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-22,550,145,11,377,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-23,704,127,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-24,917,127,0,6,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-25,655,46,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-26,1183,74,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-27,811,93,0,50,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-28,498,86,0,186,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-29,649,124,0,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-30,701,102,0,19,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-31,682,50,0,28,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2023-01-01,890,90,0,38,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2023-01-02,736,36,0,0,0,0
